2026-01-04 22:38:08.066 [warning] (/home/dcap/onedev/Creel/src/Creel.ServiceDefaults/Creel.ServiceDefaults.csproj): PackageReference Microsoft.Extensions.Configuration.Abstractions will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-04 22:38:08.130 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-04 22:38:09.765 [info] Project system initialization finished. 9 project(s) are loaded, and 0 failed to load.
2026-01-04 23:22:54.937 [warning] (/home/dcap/onedev/Creel/src/Creel.ServiceDefaults/Creel.ServiceDefaults.csproj): PackageReference Microsoft.Extensions.Configuration.Abstractions will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-04 23:23:02.785 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-04 23:25:19.573 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-04 23:25:34.977 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-04 23:25:43.909 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-04 23:26:07.337 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-04 23:26:41.893 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-04 23:27:20.149 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-04 23:27:25.458 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-04 23:28:22.982 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-04 23:28:29.068 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-04 23:28:30.622 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-04 23:28:35.582 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-06 21:42:29.649 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-06 21:53:26.211 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-06 21:53:58.043 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-06 21:57:00.109 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-06 22:11:37.118 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-06 22:24:50.832 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-06 22:30:05.684 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-06 23:26:04.602 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-06 23:28:14.912 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-06 23:28:37.268 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-06 23:28:48.866 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-06 23:29:21.674 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-06 23:29:33.121 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-06 23:29:54.704 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-06 23:30:26.494 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-06 23:31:47.408 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-06 23:35:15.446 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-06 23:53:12.643 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 09:21:05.502 [info] Project system initialization finished. 10 project(s) are loaded, and 0 failed to load.
2026-01-07 09:21:24.929 [info] Project system initialization finished. 11 project(s) are loaded, and 0 failed to load.
2026-01-07 09:25:14.426 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 09:25:57.774 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 09:34:23.643 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 09:36:43.074 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 14:22:53.931 [info] Project system initialization finished. 12 project(s) are loaded, and 0 failed to load.
2026-01-07 14:24:47.811 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
2026-01-07 14:25:29.631 [warning] (/home/dcap/onedev/Creel/src/Creel.Api/Creel.Api.csproj): PackageReference Microsoft.AspNetCore.HttpOverrides will not be pruned. Consider removing this package from your dependencies, as it is likely unnecessary.
